Subscription Name,Subscription ID,Organization,Environment,Resource Group,VNet,Subnet,Address Prefix,Next Hop Type,Next Hop IP,Route Source,Route Table,Route Name,NIC ID
IT Production P02,354e16b1-a3dd-4cc2-b271-4e7429e5fa75,IT,Production,vnet-pa-net-blkbrg-01,p02-eus-spoke-vnet,nagarro-desktops-02,0.0.0.0/0,Internet,,Default,,,/subscriptions/354e16b1-a3dd-4cc2-b271-4e7429e5fa75/resourceGroups/W365-ON-NET-NAGARRO/providers/Microsoft.Network/networkInterfaces/CPC-AKSHA-FRUOI-CPC_5EA2CB69-F4F0-469E-93E9-568FDC9A5FFA
IT Production P02,354e16b1-a3dd-4cc2-b271-4e7429e5fa75,IT,Production,vnet-pa-net-blkbrg-01,p02-eus-spoke-vnet,citrixinf-nondmz-prod-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p02-eus-zsc-rt,p02-eus-zsc-rt,/subscriptions/354e16b1-a3dd-4cc2-b271-4e7429e5fa75/resourceGroups/NAGARRO-PA-INF-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0DEUSNAGDB0174
IT Production P02,354e16b1-a3dd-4cc2-b271-4e7429e5fa75,IT,Production,vnet-pa-net-blkbrg-01,p02-eus-spoke-vnet,avd-desktops-02,0.0.0.0/0,Internet,,Default,,,/subscriptions/354e16b1-a3dd-4cc2-b271-4e7429e5fa75/resourceGroups/AVD-POC/providers/Microsoft.Network/networkInterfaces/PERSONAL-A-6-NIC
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,bi_resourcegroup,insights-pentest-kali-vnet,default,0.0.0.0/0,Internet,,Default,,,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BI_RESOURCEGROUP/providers/Microsoft.Network/networkInterfaces/INSIGHTS-PENTEST-KALI431_Z1
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,p01-ae-zsac-rg-rlqak4hf,p01-ae-zsac-vnet-rlqak4hf,p01-ae-zsac-ac-subnet-1-rlqak4hf,0.0.0.0/0,Internet,,Default,,,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/P01-AE-ZSAC-RG-RLQAK4HF/providers/Microsoft.Network/networkInterfaces/P01-AE-ZSAC-AC-NIC-1-RLQAK4HF
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,p01-eus-zsac-rg-789jb9vk,p01-eus-zsac-vnet-789jb9vk,p01-eus-zsac-ac-subnet-1-789jb9vk,0.0.0.0/0,Internet,,Default,,,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/P01-EUS-ZSAC-RG-789JB9VK/providers/Microsoft.Network/networkInterfaces/P01-EUS-ZSAC-AC-NIC-1-789JB9VK
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,p01-zscc-rg-b665anzu,p01-zscc-vnet-b665anzu,p01-zscc-cc-subnet-1-b665anzu,0.0.0.0/0,VirtualAppliance,10.94.0.4,User,p01-eus-azfw-zscc,p01-eus-azfw-zscc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/P01-ZSCC-RG-B665ANZU/providers/Microsoft.Network/networkInterfaces/CLOUDCONNECTORMGMTINT_4JRHHIWKVQJ3E_CCVM1
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,p01-ae-zscc-rg-of0v06ou,p01-ae-zscc-vnet-of0v06ou,p01-ae-zscc-cc-subnet-1-of0v06ou,0.0.0.0/0,VirtualAppliance,10.94.33.4,User,p01-ae-azfw-zscc,p01-ae-azfw-zscc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/P01-AE-ZSCC-RG-OF0V06OU/providers/Microsoft.Network/networkInterfaces/P01-AE-ZSCC-CCVM-1-FWD-NIC-OF0V06OU
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,p01-weu-zscc-rg-sbrp2icl,p01-weu-zscc-vnet-sbrp2icl,p01-weu-zscc-cc-subnet-1-sbrp2icl,0.0.0.0/0,VirtualAppliance,10.94.64.4,User,p01-weu-azfw-zscc,p01-weu-azfw-zscc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/P01-WEU-ZSCC-RG-SBRP2ICL/providers/Microsoft.Network/networkInterfaces/P01-WEU-ZSCC-CCVM-1-FWD-NIC-SBRP2ICL
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,p01-weu-zsac-rg-88ken985,p01-weu-zsac-vnet-88ken985,p01-weu-zsac-ac-subnet-1-88ken985,0.0.0.0/0,Internet,,Default,,,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/P01-WEU-ZSAC-RG-88KEN985/providers/Microsoft.Network/networkInterfaces/P01-WEU-ZSAC-AC-NIC-1-88KEN985
