Subscription Name,Subscription ID,Account Used,Role,Capability,Reason
ai-p-usa01,a4a3d838-d4f6-4db7-9663-2244ca30883a,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/a4a3d838-d4f6-4db7-9663-2244ca30883a/resourceGroups/AIPAUS01ABAIV3BLKBRG/providers/Microsoft.Network/networkInterfaces/PE-AISEARCH-AIPAUS01ABAIV3BLKBAISEARCH01-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/a4a3d838-d4f6-4db7-9663-2244ca30883a/resourceGroups/AIPAUS01ABAIV3BLKBRG/providers/Microsoft.Network/networkInterfaces/PE-AISEARCH-AIPAUS01ABAIV3BLKBAISEARCH01-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials."
Cloud Health & Governance - Dev,73b4b77a-58e4-4910-88b1-2f4da8e47e32,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/73b4b77a-58e4-4910-88b1-2f4da8e47e32/resourceGroups/ACE01/providers/Microsoft.Network/networkInterfaces/ACE-AZURE01562_Z2' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/73b4b77a-58e4-4910-88b1-2f4da8e47e32/resourceGroups/ACE01/providers/Microsoft.Network/networkInterfaces/ACE-AZURE01562_Z2' or the scope is invalid. If access was recently granted, please refresh your credentials."
CustOps - Dev,ebe33ccf-e94b-458e-bef5-639ab3d7d7d9,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/ebe33ccf-e94b-458e-bef5-639ab3d7d7d9/resourceGroups/AZDEV-COMPUTE-CUS/providers/Microsoft.Network/networkInterfaces/AZDEV-SE-APP01-NIC-BE6AEFE894AF442D88377AF209317B1C' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/ebe33ccf-e94b-458e-bef5-639ab3d7d7d9/resourceGroups/AZDEV-COMPUTE-CUS/providers/Microsoft.Network/networkInterfaces/AZDEV-SE-APP01-NIC-BE6AEFE894AF442D88377AF209317B1C' or the scope is invalid. If access was recently granted, please refresh your credentials."
Cyber Security Prod,97df6729-2a4f-4376-a3bd-2bf103f9ee7a,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/97df6729-2a4f-4376-a3bd-2bf103f9ee7a/resourceGroups/SHAREDSECURITY-ALGOSEC/providers/Microsoft.Network/networkInterfaces/BBSECPEUS2ALGOPE01.NIC.0140ED60-233A-464C-9562-F3BF01F00B7B' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/97df6729-2a4f-4376-a3bd-2bf103f9ee7a/resourceGroups/SHAREDSECURITY-ALGOSEC/providers/Microsoft.Network/networkInterfaces/BBSECPEUS2ALGOPE01.NIC.0140ED60-233A-464C-9562-F3BF01F00B7B' or the scope is invalid. If access was recently granted, please refresh your credentials."
Cyber Security Test,11a6fb25-e963-4503-9f13-2f400ca2ad2a,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/11a6fb25-e963-4503-9f13-2f400ca2ad2a/resourceGroups/BBSECTEUS2ALG-RG01/providers/Microsoft.Network/networkInterfaces/BBSECTEUS2ALG-VM01693_Z1' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/11a6fb25-e963-4503-9f13-2f400ca2ad2a/resourceGroups/BBSECTEUS2ALG-RG01/providers/Microsoft.Network/networkInterfaces/BBSECTEUS2ALG-VM01693_Z1' or the scope is invalid. If access was recently granted, please refresh your credentials."
Cybersecurity - F01,49e3aae8-9a22-48a5-a5e2-5bacee9a2a58,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/49e3aae8-9a22-48a5-a5e2-5bacee9a2a58/resourceGroups/SEC02PEUSSTRG-RG01/providers/Microsoft.Network/networkInterfaces/SEC02PEUSSTRG-PE01.NIC.92276B47-E032-4CD3-9601-6ACC8C061085' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/49e3aae8-9a22-48a5-a5e2-5bacee9a2a58/resourceGroups/SEC02PEUSSTRG-RG01/providers/Microsoft.Network/networkInterfaces/SEC02PEUSSTRG-PE01.NIC.92276B47-E032-4CD3-9601-6ACC8C061085' or the scope is invalid. If access was recently granted, please refresh your credentials."
Cybersecurity - P02,c807483d-835a-4e97-8aa1-17a013df9663,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/c807483d-835a-4e97-8aa1-17a013df9663/resourceGroups/SEC02PEUS2AIQ-RG01/providers/Microsoft.Network/networkInterfaces/SEC02PEUS2AIQ-VM1104_Z1' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/c807483d-835a-4e97-8aa1-17a013df9663/resourceGroups/SEC02PEUS2AIQ-RG01/providers/Microsoft.Network/networkInterfaces/SEC02PEUS2AIQ-VM1104_Z1' or the scope is invalid. If access was recently granted, please refresh your credentials."
d-usa01,5f92497c-be1c-4491-8376-3833b5b822d2,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/5f92497c-be1c-4491-8376-3833b5b822d2/resourceGroups/CRB-FOUNDRY-TESTING/providers/Microsoft.Network/networkInterfaces/PE-AISEARCH-DUSA01ABAIV3BLKBAISEARCH49-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/5f92497c-be1c-4491-8376-3833b5b822d2/resourceGroups/CRB-FOUNDRY-TESTING/providers/Microsoft.Network/networkInterfaces/PE-AISEARCH-DUSA01ABAIV3BLKBAISEARCH49-NIC' or the scope is invalid. If access was recently granted, please refresh your credentials."
Dev - D00,cce24824-b042-4cf8-8348-b4e6637677f0,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/cce24824-b042-4cf8-8348-b4e6637677f0/resourceGroups/AI-DEV-IE-COPILOT-LOGS/providers/Microsoft.Network/networkInterfaces/IE-COPILOT-AI-OPS19_Z1' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/cce24824-b042-4cf8-8348-b4e6637677f0/resourceGroups/AI-DEV-IE-COPILOT-LOGS/providers/Microsoft.Network/networkInterfaces/IE-COPILOT-AI-OPS19_Z1' or the scope is invalid. If access was recently granted, please refresh your credentials."
Dev - D01,d050ee34-b513-4364-891c-067f86282fe4,ratnavo.dutta-adm@blackbaud.me,UNKNOWN,CANNOT_READ_ROUTES,"HTTP 403: (AuthorizationFailed) The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/d050ee34-b513-4364-891c-067f86282fe4/resourceGroups/D01ACTX01CNS04BLKBRG/providers/Microsoft.Network/networkInterfaces/D01ACTX01CNA04A469' or the scope is invalid. If access was recently granted, please refresh your credentials.
Code: AuthorizationFailed
Message: The client 'ratnavo.dutta-adm@blackbaud.me' with object id 'fa0a95ad-a8c4-47d4-a482-14462fd7a320' does not have authorization to perform action 'Microsoft.Network/networkInterfaces/effectiveRouteTable/action' over scope '/subscriptions/d050ee34-b513-4364-891c-067f86282fe4/resourceGroups/D01ACTX01CNS04BLKBRG/providers/Microsoft.Network/networkInterfaces/D01ACTX01CNA04A469' or the scope is invalid. If access was recently granted, please refresh your credentials."
