Subscription Name,Subscription ID,Organization,Environment,Resource Group,VNet,Subnet,Address Prefix,Next Hop Type,Next Hop IP,Route Source,Route Table,Route Name,NIC ID
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cnc-zscc-rg,n01-cnc-zscc-vnet,n01-cnc-zscc-cc-subnet-1,0.0.0.0/0,VirtualAppliance,10.192.74.4,User,n01-cnc-zscc-rt,n01-cnc-zscc-fw-route,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/N01-CNC-ZSCC-RG/providers/Microsoft.Network/networkInterfaces/N01-CNC-ZSCC-CCVM-1-FWD-NIC
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cnc-dpcc-rg,n01-cnc-dpcc-vnet,n01-cnc-dpcc-cc-subnet-1,0.0.0.0/0,VirtualAppliance,198.18.10.4,User,n01-cnc-dpcc-rt,n01-cnc-dpcc-fw-route,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/N01-CNC-DPCC-RG/providers/Microsoft.Network/networkInterfaces/N01-CNC-DPCC-CCVM-1-FWD-NIC
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cus-zscc-rg,n01-cus-zscc-vnet,n01-cus-zscc-cc-subnet-1,0.0.0.0/0,VirtualAppliance,10.192.73.4,User,n01-cus-zscc-rt,n01-cus-zscc-fw-route,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/N01-CUS-ZSCC-RG/providers/Microsoft.Network/networkInterfaces/N01-CUS-ZSCC-CCVM-1-FWD-NIC
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-ae-zscc-rg,n01-ae-zscc-vnet,n01-ae-zscc-cc-subnet-1,0.0.0.0/0,VirtualAppliance,10.192.75.4,User,n01-ae-zscc-rt,n01-ae-zscc-fw-route,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/N01-AE-ZSCC-RG/providers/Microsoft.Network/networkInterfaces/N01-AE-ZSCC-CCVM-1-FWD-NIC
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-we-zscc-rg,n01-we-zscc-vnet,n01-we-zscc-cc-subnet-1,0.0.0.0/0,VirtualAppliance,10.192.76.4,User,n01-we-zscc-rt,n01-we-zscc-fw-route,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/N01-WE-ZSCC-RG/providers/Microsoft.Network/networkInterfaces/N01-WE-ZSCC-CCVM-1-FWD-NIC
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-cnc,n01-zsac-vnet01-cnc,n01-cnc-zsac-ac-subnet-1,0.0.0.0/0,Internet,,Default,,,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/N01-ZSAC-RG01-CNC/providers/Microsoft.Network/networkInterfaces/N01-CNC-ZSAC-AC-NIC-1
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-ae,n01-zsac-vnet01-ae,n01-ae-zsac-ac-subnet-1,0.0.0.0/0,Internet,,Default,,,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/N01-ZSAC-RG01-AE/providers/Microsoft.Network/networkInterfaces/N01-AE-ZSAC-AC-NIC-1
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-cus,n01-zsac-vnet01-cus,n01-cus-zsac-ac-subnet-1,0.0.0.0/0,Internet,,Default,,,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/N01-ZSAC-RG01-CUS/providers/Microsoft.Network/networkInterfaces/N01-CUS-ZSAC-AC-NIC-1
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-we,n01-zsac-vnet01-we,n01-we-zsac-ac-subnet-1,0.0.0.0/0,Internet,,Default,,,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/N01-ZSAC-RG01-WE/providers/Microsoft.Network/networkInterfaces/N01-WE-ZSAC-AC-NIC-1
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-zsac-rg01-eus2,n01-zsac-vnet01-eus2,n01-eus2-zsac-ac-subnet-1,0.0.0.0/0,Internet,,Default,,,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/N01-ZSAC-RG01-EUS2/providers/Microsoft.Network/networkInterfaces/N01-EUS2-ZSAC-AC-NIC-1
