Subscription Name,Subscription ID,Organization,Environment,Resource Group,VNet,Subnet,Address Prefix,Verdict,Peered To Hub,Hub Connection,Route Table,Default Route Next Hop Type,Default Route Next Hop IP,Offending Routes,Evidence,Notes,Evaluated By Account
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cne-vwcc-rg,n01-cne-vwcc-vnet,n01-cne-vwcc-cc-subnet-1,10.193.58.64/26,NOT_EVALUATED,True,n01-cne-vwcc-vnet,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-cne-vwcc-rg/providers/Microsoft.Network/routeTables/n01-cne-vwcc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cnc-dpcc-rg,n01-cnc-dpcc-vnet,n01-cnc-dpcc-cc-subnet-1,198.18.10.128/26,NOT_EVALUATED,False,,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-cnc-dpcc-rg/providers/Microsoft.Network/routeTables/n01-cnc-dpcc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cus-vwcc-rg,n01-cus-vwcc-vnet,AzureBastionSubnet,10.193.10.0/26,EXPECTED_BYPASS,True,n01-cus-vwcc-vnet,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-as-vwcc-rg,n01-as-vwcc-vnet,AzureBastionSubnet,10.193.50.0/26,EXPECTED_BYPASS,True,n01-as-vwcc-vnet,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cnc-zscc-rg,n01-cnc-zscc-vnet,AzureFirewallManagementSubnet,10.192.74.192/26,EXPECTED_BYPASS,False,,,,,,NONE,Infrastructure subnet - bypass by design.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-cnc-zscc-rg,n01-cnc-zscc-vnet,n01-cnc-zscc-cc-subnet-1,10.192.74.128/26,NOT_EVALUATED,False,,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-cnc-zscc-rg/providers/Microsoft.Network/routeTables/n01-cnc-zscc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-eus2-dnsresolver-rg-1,n01-eus2-dnsresolver-vnet,n01-eus2-dnsresolver-outbound-snet,10.209.68.16/28,NOT_EVALUATED,True,n01-eus2-dnsresolver-vnet,,,,,INFERRED,"INFERRED (no NIC present): VNet peered to hub (Connected); hub connection 'n01-eus2-dnsresolver-vnet' present; delegated to Microsoft.Network/dnsResolvers - service-injected, no user NIC",Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-as-vwcc-rg,n01-as-vwcc-vnet,n01-as-vwcc-cc-subnet-1,10.193.50.64/26,NOT_EVALUATED,True,n01-as-vwcc-vnet,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-as-vwcc-rg/providers/Microsoft.Network/routeTables/n01-as-vwcc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-ae-vwcc-rg,n01-ae-vwcc-vnet,n01-ae-vwcc-cc-subnet-1,10.193.42.64/26,NOT_EVALUATED,True,n01-ae-vwcc-vnet,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-ae-vwcc-rg/providers/Microsoft.Network/routeTables/n01-ae-vwcc-rt,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
Networking Production - N01,150ea8a8-4006-49a6-8c11-b7d7c2942e61,RDO,Production,n01-net_mgmt-rg-eus2,n01-net_mgmt-vnet-eus2,n01-net_mgmt-app-snet01,10.192.252.0/26,NOT_EVALUATED,False,,/subscriptions/150ea8a8-4006-49a6-8c11-b7d7c2942e61/resourceGroups/n01-net_mgmt-rg-eus2/providers/Microsoft.Network/routeTables/n01-net_mgmt-rt-eus2,,,,INFERRED,INSUFFICIENT_ROLE: pre-flight capability probe determined account 'Ratnavo.Dutta@blackbaud.me' cannot read effective routes in this subscription (see Capability_Matrix sheet). Effective-route call skipped to avoid burning the scan on a guaranteed 403; grant Contributor (or a custom role with Microsoft.Network/networkInterfaces/effectiveRouteTable/action) and re-run.,Ratnavo.Dutta@blackbaud.me
